Comuna,Tipo de ciclovias,Km Totales,Promedio de Largo,%
CERRILLOS,Expresa,1.3,129.61,0.03
CERRILLOS,Troncal,39.64,120.14,0.93
CERRILLOS,Residencial,17.02,100.09,0.4
CERRO NAVIA,Expresa,20.84,130.25,0.49
CERRO NAVIA,Colectora,47.38,50.4,1.11
CONCHALÍ,Expresa,33.33,370.31,0.78
CONCHALÍ,Troncal,23.27,86.17,0.54
CONCHALÍ,Colectora,10.48,45.58,0.25
CONCHALÍ,Servicio,14.57,242.77,0.34
EL BOSQUE,Troncal,41.17,39.58,0.96
EL BOSQUE,Servicio,15.61,74.32,0.37
ESTACIÓN CENTRAL,Expresa,27.21,93.82,0.64
ESTACIÓN CENTRAL,Troncal,49.29,94.78,1.15
ESTACIÓN CENTRAL,Colectora,18.89,60.94,0.44
ESTACIÓN CENTRAL,Residencial,7.88,98.54,0.18
HUECHURABA,Troncal,8.77,109.65,0.21
INDEPENDENCIA,Troncal,51.78,58.18,1.21
INDEPENDENCIA,Servicio,14.21,142.06,0.33
INDEPENDENCIA,Residencial,12.65,158.11,0.3
LA CISTERNA,Troncal,0.13,13.37,0
LA CISTERNA,Colectora,17.29,43.21,0.4
LA FLORIDA,Troncal,95.83,65.64,2.24
LA FLORIDA,Colectora,36.52,58.9,0.85
LA FLORIDA,Servicio,6.54,217.98,0.15
LA FLORIDA,Pasaje,1.83,60.96,0.04
LA GRANJA,Expresa,14.86,82.55,0.35
LA GRANJA,Troncal,25.32,68.42,0.59
LA GRANJA,Colectora,8.16,62.76,0.19
LA GRANJA,Servicio,12.18,30.45,0.29
LA GRANJA,Residencial,2.04,204.26,0.05
LA PINTANA,Expresa,8.83,176.63,0.21
LA PINTANA,Troncal,146.29,178.4,3.42
LA PINTANA,Colectora,25.49,98.02,0.6
LA PINTANA,Servicio,5.98,119.55,0.14
LA REINA,Troncal,28.61,92.3,0.67
LA REINA,Colectora,62.19,92.82,1.46
LA REINA,Servicio,50,98.04,1.17
LAS CONDES,Expresa,7.95,794.52,0.19
LAS CONDES,Troncal,2.8,40.04,0.07
LAS CONDES,Colectora,107.98,100.92,2.53
LAS CONDES,Servicio,108.16,95.72,2.53
LAS CONDES,Residencial,144.06,63.18,3.37
LAS CONDES,Pasaje,0.14,4.63,0
LO ESPEJO,Troncal,28.16,33.93,0.66
LO PRADO,Colectora,38.19,49.6,0.89
MACUL,Troncal,26.36,101.38,0.62
MACUL,Colectora,28.02,127.38,0.66
MACUL,Servicio,12.55,114.05,0.29
MAIPÚ,Troncal,184.15,106.45,4.31
MAIPÚ,Colectora,35.26,86.01,0.83
MAIPÚ,Servicio,25.62,45.75,0.6
ÑUÑOA,Troncal,45.02,60.84,1.05
ÑUÑOA,Colectora,141.56,60.5,3.31
ÑUÑOA,Servicio,42.73,63.78,1
ÑUÑOA,Residencial,10.76,82.77,0.25
PEDRO AGUIRRE CERDA,Troncal,32.98,70.16,0.77
PEÑALOLÉN,Troncal,2.34,33.45,0.05
PEÑALOLÉN,Colectora,60.59,131.72,1.42
PEÑALOLÉN,Servicio,38.1,141.12,0.89
PEÑALOLÉN,Residencial,3.14,78.38,0.07
PEÑALOLÉN,Pasaje,19.63,392.52,0.46
PROVIDENCIA,Expresa,41.61,166.42,0.97
PROVIDENCIA,Troncal,91.19,75.37,2.13
PROVIDENCIA,Colectora,122.25,72.34,2.86
PROVIDENCIA,Servicio,15.26,49.23,0.36
PROVIDENCIA,Residencial,24.97,80.56,0.58
PUDAHUEL,Troncal,10.01,38.51,0.23
PUDAHUEL,Servicio,38.95,97.37,0.91
PUDAHUEL,Residencial,2.1,209.74,0.05
PUENTE ALTO,Troncal,226.01,103.67,5.29
PUENTE ALTO,Colectora,6.8,56.66,0.16
PUENTE ALTO,Servicio,42.41,57.31,0.99
QUILICURA,Expresa,77.1,350.47,1.8
QUILICURA,Colectora,30.52,179.54,0.71
QUINTA NORMAL,Expresa,57.45,130.56,1.34
QUINTA NORMAL,Troncal,34.28,100.82,0.8
QUINTA NORMAL,Colectora,44.37,87,1.04
QUINTA NORMAL,Residencial,23.01,82.19,0.54
RECOLETA,Troncal,31.06,40.87,0.73
RECOLETA,Colectora,29.19,67.89,0.68
RECOLETA,Servicio,10.64,40.93,0.25
RENCA,Troncal,9.24,40.18,0.22
RENCA,Colectora,57.79,60.83,1.35
RENCA,Servicio,83.03,50.63,1.94
RENCA,Residencial,12.09,201.51,0.28
SAN BERNARDO,Troncal,21.16,84.65,0.5
SAN BERNARDO,Colectora,8.95,68.88,0.21
SAN BERNARDO,Servicio,23.29,105.87,0.55
SAN BERNARDO,Residencial,12.25,81.68,0.29
SAN JOAQUÍN,Expresa,10.06,62.86,0.24
SAN JOAQUÍN,Troncal,108.67,53.79,2.54
SAN JOAQUÍN,Colectora,3.94,131.38,0.09
SAN JOAQUÍN,Residencial,11.41,87.73,0.27
SAN MIGUEL,Expresa,7.88,65.7,0.18
SAN RAMÓN,Troncal,14.42,90.1,0.34
SAN RAMÓN,Colectora,17.49,38.03,0.41
SANTIAGO,Expresa,8.08,404.03,0.19
SANTIAGO,Troncal,261.69,71.69,6.12
SANTIAGO,Colectora,133.55,60.71,3.13
SANTIAGO,Servicio,125.92,58.3,2.95
SANTIAGO,Residencial,172.04,58.72,4.03
VITACURA,Troncal,24.98,499.57,0.58
VITACURA,Colectora,35.58,54.74,0.83
