comuna,id_2,tipo_inop,op_cr,op_ci,largo_m
PUENTE ALTO,4693,0,0,0,7.65524880406
PEDRO AGUIRRE CERDA,2184,0,0,0,14.4148361747
PEDRO AGUIRRE CERDA,2190,0,1,0,12.0084444199
PEDRO AGUIRRE CERDA,2192,0,0,0,10.4365966735
PEDRO AGUIRRE CERDA,2194,0,1,0,11.1136802943
PEDRO AGUIRRE CERDA,2204,0,0,0,13.2373594972
PEDRO AGUIRRE CERDA,2211,0,1,0,36.2594990973
PEDRO AGUIRRE CERDA,2214,0,0,0,10.843625126
PEDRO AGUIRRE CERDA,2220,0,1,0,9.81115133186
PEDRO AGUIRRE CERDA,2222,0,1,0,15.8579535215
PEDRO AGUIRRE CERDA,2225,0,0,0,124.869854739
LA FLORIDA,3131,0,0,0,14.5669885785
LA FLORIDA,3135,0,0,0,12.6763906337
LA FLORIDA,3146,0,0,0,18.6513537167
LA FLORIDA,3149,0,1,0,8.30885691282
LA FLORIDA,3151,0,0,0,5.13823080811
LA FLORIDA,3160,0,1,0,10.1114688569
LA FLORIDA,3162,0,0,0,7.53432486828
LA FLORIDA,3164,0,0,0,21.0586859874
LA FLORIDA,3166,0,0,0,9.15874255322
LA FLORIDA,3168,0,0,0,9.88576655123
LA FLORIDA,3170,0,1,0,9.08016044461
LA FLORIDA,3129,0,0,0,6.95288198263
LA FLORIDA,3154,0,0,0,17.7914237418
LA GRANJA,4750,0,0,0,23.1025617734
LA GRANJA,4752,0,0,0,21.9040441241
LA GRANJA,4754,0,1,0,21.0000198542
LA GRANJA,4756,0,1,0,16.2180564725
LA GRANJA,4758,0,1,0,17.4484958622
PUENTE ALTO,4328,0,0,0,20.582519455
PUENTE ALTO,4329,0,0,0,26.7836727822
PUENTE ALTO,4318,0,0,0,26.1047018181
PUENTE ALTO,4316,0,0,0,11.7742819719
PUENTE ALTO,4284,0,0,0,13.6755053272
LO ESPEJO,558,0,0,0,9.0736482506
LO ESPEJO,560,0,1,0,11.3693311966
LO ESPEJO,566,0,1,0,5.18531545038
LO ESPEJO,570,0,1,0,8.29382882033
LO ESPEJO,572,0,0,0,6.14399430135
LO ESPEJO,574,0,0,0,5.55205742211
LO ESPEJO,576,0,0,0,5.85727974842
LO ESPEJO,586,0,1,0,6.94331336324
LO ESPEJO,510,0,1,0,9.84914342378
LO ESPEJO,512,0,1,0,7.28680817123
LO ESPEJO,517,1,0,1,60.8440683579
LO ESPEJO,546,0,1,0,7.20484749638
PUENTE ALTO,1465,0,0,0,7.26989935855
PUENTE ALTO,1467,0,0,0,7.87663364665
PUENTE ALTO,1479,0,1,0,11.0571289246
PUENTE ALTO,1496,0,0,0,5.55910872899
PUENTE ALTO,1502,0,0,0,8.26088317927
PUENTE ALTO,1504,0,0,0,23.3363211685
PUENTE ALTO,1509,0,0,0,12.3646754126
PUENTE ALTO,1511,0,0,0,12.6367684139
PUENTE ALTO,1513,0,1,0,8.64733242397
PUENTE ALTO,1515,0,0,0,8.02896056378
PUENTE ALTO,1521,0,0,0,10.7038506403
PUENTE ALTO,1524,0,0,0,9.24845851018
PUENTE ALTO,1526,0,0,0,10.3213670613
PUENTE ALTO,1536,0,0,0,9.13738866931
PUENTE ALTO,1540,0,1,0,8.75299197302
PUENTE ALTO,1542,0,0,0,8.77010009938
PUENTE ALTO,1544,0,0,0,23.8970594508
PUENTE ALTO,1552,0,0,0,12.4622915036
PUENTE ALTO,1558,0,0,0,21.04180063
LA PINTANA,1665,0,1,0,20.6069832067
LA PINTANA,1667,0,1,0,15.0237221869
LA PINTANA,1683,0,0,0,19.7731967988
LA PINTANA,1722,0,1,0,13.1302250722
LA PINTANA,1724,0,0,0,12.0668571665
LA PINTANA,1727,0,1,0,8.39039266068
SANTIAGO,2115,0,0,0,89.3550792185
SANTIAGO,2118,0,0,0,9.84153046295
SANTIAGO,2122,0,0,0,8.63780477008
SANTIAGO,2124,0,0,0,9.18792375464
SANTIAGO,2128,0,0,0,11.1408157101
SANTIAGO,2138,0,0,0,12.9301229514
LAS CONDES,735,0,0,0,12.3963297416
LAS CONDES,4854,0,0,0,15.690960763
LAS CONDES,4873,0,0,0,9.60081106153
LAS CONDES,4889,0,0,0,16.8024701608
LAS CONDES,4891,0,0,0,22.9440608134
LAS CONDES,4887,0,0,0,11.2789838437
LAS CONDES,4897,0,1,0,8.38843514377
VITACURA,4975,0,0,0,31.1894886736
VITACURA,4985,0,0,0,12.0494639906
VITACURA,4994,0,0,0,16.9442157985
VITACURA,5000,0,0,0,33.3128840463
LAS CONDES,4331,0,0,0,261.883743334
LAS CONDES,4332,0,0,0,13.124177676
LAS CONDES,4333,0,0,0,268.421489507
LAS CONDES,4334,0,0,0,8.30840492557
LAS CONDES,4335,0,0,0,229.702092265
LAS CONDES,4336,3,0,1,167.949210521
PROVIDENCIA,4341,0,0,0,168.30760253
PROVIDENCIA,4342,0,1,0,18.9899321789
PROVIDENCIA,4343,0,0,0,331.739260823
PROVIDENCIA,4344,0,1,0,18.0820680203
PROVIDENCIA,4345,0,0,0,361.154489305
PROVIDENCIA,4346,0,0,0,14.6434227296
PROVIDENCIA,4347,0,0,0,68.3806256622
PROVIDENCIA,4348,0,0,0,9.11009259251
PROVIDENCIA,4349,0,0,0,92.1991328982
PROVIDENCIA,4350,0,0,0,15.2305413537
PROVIDENCIA,4351,0,0,0,18.5821405528
PROVIDENCIA,4352,0,0,0,97.9955794154
PROVIDENCIA,4353,0,0,0,9.76177836204
PROVIDENCIA,4354,0,0,0,61.6387534505
PROVIDENCIA,4355,0,0,0,6.9058183249
PROVIDENCIA,4356,0,0,0,56.7376312858
PROVIDENCIA,4357,0,0,0,11.1534438185
PROVIDENCIA,4358,0,0,0,183.453563873
PROVIDENCIA,4359,0,0,0,95.1421048336
PROVIDENCIA,4361,0,0,0,12.7282396539
PROVIDENCIA,4363,0,0,0,56.6100668793
PROVIDENCIA,4365,0,0,0,8.3615556789
PROVIDENCIA,4366,0,0,0,58.7410242188
PROVIDENCIA,4367,0,0,0,9.79799990684
LAS CONDES,4065,0,0,0,334.159307108
LAS CONDES,4067,0,0,0,10.9227339166
LAS CONDES,4158,0,0,0,218.923347551
LAS CONDES,4159,0,0,0,19.0691892741
LAS CONDES,4160,0,0,0,241.819772464
LAS CONDES,4161,0,0,0,8.0891107203
LAS CONDES,4162,0,0,0,183.016544036
LAS CONDES,4163,0,0,0,11.8842761401
LAS CONDES,4164,0,0,0,107.00903329
LAS CONDES,4166,0,0,0,81.4686443763
LAS CONDES,4167,0,0,0,11.6061020774
LAS CONDES,4168,0,0,0,11.7531645975
LAS CONDES,4059,0,0,0,60.4000498448
LAS CONDES,4060,0,0,0,13.5472050761
LAS CONDES,4061,0,0,0,56.2836727873
LAS CONDES,4062,0,0,0,9.13641623473
LAS CONDES,4063,0,0,0,63.2293535137
LAS CONDES,4064,0,0,0,10.6853372884
LAS CONDES,4066,0,0,0,50.0114756198
LAS CONDES,4068,0,0,0,12.0024504424
LAS CONDES,4069,0,0,0,44.9437962423
LAS CONDES,4070,0,0,0,14.1960116665
LAS CONDES,4071,0,0,0,39.1778983668
LAS CONDES,4072,0,0,0,10.266389171
LAS CONDES,4073,0,0,0,43.7953116321
LAS CONDES,4074,0,0,0,12.5050096633
LAS CONDES,4075,0,0,0,75.3296599094
LAS CONDES,4076,0,1,0,9.93992448299
LAS CONDES,4077,0,0,0,83.7613755686
LAS CONDES,4078,0,0,0,11.3204447548
LAS CONDES,4079,0,0,0,51.6474342242
LAS CONDES,4080,0,0,0,9.30082296633
LAS CONDES,4081,0,0,0,54.292872879
LAS CONDES,4082,0,0,0,11.2703877317
LAS CONDES,4083,0,0,0,52.8776727322
LAS CONDES,4084,0,0,0,8.43618471227
LAS CONDES,4085,0,0,0,113.12908309
LAS CONDES,4086,0,0,0,9.45787705597
LAS CONDES,4087,0,0,0,310.560507532
LAS CONDES,4088,0,0,0,12.0427985236
LAS CONDES,4089,0,0,0,60.0659265537
LAS CONDES,4090,0,0,0,9.90995932263
LAS CONDES,4091,0,1,0,55.650808674
LAS CONDES,4169,0,0,0,94.9315262238
LAS CONDES,4170,0,0,0,12.7234454592
LAS CONDES,4171,0,0,0,71.5748542017
LAS CONDES,4172,0,0,0,10.5907684822
LAS CONDES,4173,0,0,0,66.4429834989
LAS CONDES,4174,0,0,0,11.4781228478
LAS CONDES,4175,0,0,0,67.817264706
LAS CONDES,4176,0,0,0,11.2759177054
LAS CONDES,4177,0,0,0,150.19332754
LAS CONDES,4178,0,0,0,11.6214556101
LAS CONDES,4179,0,0,0,78.765529084
LAS CONDES,4180,0,0,0,17.8943771995
LAS CONDES,4181,0,0,0,68.061279153
LAS CONDES,4182,0,0,0,8.31736872024
LAS CONDES,4183,0,0,0,45.5539193621
LAS CONDES,4184,0,0,0,11.8126259337
LAS CONDES,4185,0,0,0,95.0463406801
LAS CONDES,4186,0,0,0,12.9614818399
LAS CONDES,4187,0,0,0,74.2916721531
LAS CONDES,4188,0,0,0,9.06162997792
LAS CONDES,4189,0,0,0,69.6658830257
LAS CONDES,4190,0,0,0,9.39243268421
LAS CONDES,4191,0,0,0,77.6338410526
LAS CONDES,4192,0,0,0,8.78877053067
LAS CONDES,4193,0,0,0,104.083235158
LAS CONDES,4194,0,0,0,7.53432486828
LAS CONDES,4195,0,0,0,233.926613973
LAS CONDES,4196,0,0,0,9.44569683711
LAS CONDES,4197,0,0,0,202.077677792
LAS CONDES,4198,0,1,0,5.67689531407
LAS CONDES,4199,0,0,0,165.565363072
LAS CONDES,4200,0,0,0,64.6218954794
LAS CONDES,4201,0,0,0,6.0381189341
LAS CONDES,4202,0,0,0,57.5678759855
LAS CONDES,4203,0,0,0,13.7583076939
LAS CONDES,4204,0,0,0,54.8720220471
