comuna,tipo,km_total,%
CERRILLOS,Inoperativo,5321.0119384769,1.25
CERRILLOS,Operativo,474.57789908477,0.11
CERRO NAVIA,Inoperativo,1885.8391519435,0.44
CERRO NAVIA,Operativo,4936.20686837137,1.16
CONCHALÍ,Inoperativo,2264.001053941,0.53
CONCHALÍ,Operativo,5900.44253853842,1.38
EL BOSQUE,Inoperativo,2804.4952935409,0.66
EL BOSQUE,Operativo,2872.9423062974,0.67
ESTACIÓN CENTRAL,Inoperativo,2169.713060181,0.51
ESTACIÓN CENTRAL,Operativo,8157.17013252126,1.91
HUECHURABA,Inoperativo,823.3139357104,0.19
HUECHURABA,Operativo,53.8480745743,0.01
INDEPENDENCIA,Inoperativo,4103.8973489457,0.96
INDEPENDENCIA,Operativo,3759.3722488523,0.88
LA CISTERNA,Inoperativo,1227.6065118655,0.29
LA CISTERNA,Operativo,514.31179975652,0.12
LA FLORIDA,Inoperativo,9224.41867176079,2.16
LA FLORIDA,Operativo,4847.19803240848,1.13
LA GRANJA,Inoperativo,3373.2870152419,0.79
LA GRANJA,Operativo,2882.5097001241797,0.67
LA PINTANA,Inoperativo,4492.0475372081,1.05
LA PINTANA,Operativo,14166.44946162329,3.32
LA REINA,Inoperativo,7760.28295937195,1.82
LA REINA,Operativo,6319.71304703608,1.48
LAS CONDES,Inoperativo,18418.8840047891,4.31
LAS CONDES,Operativo,18689.78422645885,4.37
LO ESPEJO,Inoperativo,2520.5729001813,0.59
LO ESPEJO,Operativo,295.82712341001,0.07
LO PRADO,Inoperativo,3274.1510559303,0.77
LO PRADO,Operativo,544.69414550258,0.13
MACUL,Inoperativo,4000.8635741847,0.94
MACUL,Operativo,2691.9282263112,0.63
MAIPÚ,Inoperativo,7896.2004966351,1.85
MAIPÚ,Operativo,16607.50431076155,3.89
ÑUÑOA,Inoperativo,11476.3699224215,2.69
ÑUÑOA,Operativo,12530.47496659275,2.93
PEDRO AGUIRRE CERDA,Inoperativo,59.090408997800004,0.01
PEDRO AGUIRRE CERDA,Operativo,3238.58040475006,0.76
PEÑALOLÉN,Inoperativo,4098.2529467464,0.96
PEÑALOLÉN,Operativo,8281.66011577775,1.94
PROVIDENCIA,Inoperativo,5874.05393818741,1.37
PROVIDENCIA,Operativo,23654.42853908562,5.54
PUDAHUEL,Inoperativo,444.9315544766,0.1
PUDAHUEL,Operativo,4660.85732537444,1.09
PUENTE ALTO,Inoperativo,18777.46927357101,4.39
PUENTE ALTO,Operativo,8743.96031472585,2.05
QUILICURA,Inoperativo,1549.0659182134,0.36
QUILICURA,Operativo,9213.36939013089,2.16
QUINTA NORMAL,Inoperativo,2741.6424688622,0.64
QUINTA NORMAL,Operativo,13169.37724469122,3.08
RECOLETA,Inoperativo,2301.8748830395,0.54
RECOLETA,Operativo,4787.74181376135,1.12
RENCA,Inoperativo,13354.28112545579,3.13
RENCA,Operativo,2860.60123033312,0.67
SAN BERNARDO,Inoperativo,2730.6176761082,0.64
SAN BERNARDO,Operativo,3835.25386943878,0.9
SAN JOAQUÍN,Inoperativo,5656.70511284742,1.32
SAN JOAQUÍN,Operativo,7750.32541803652,1.81
SAN MIGUEL,Operativo,788.37747195893,0.18
SAN RAMÓN,Inoperativo,2872.9560668801,0.67
SAN RAMÓN,Operativo,317.84855204163,0.07
SANTIAGO,Inoperativo,27081.76618032653,6.34
SANTIAGO,Operativo,43046.81451889914,10.07
VITACURA,Inoperativo,3297.4956664907,0.77
VITACURA,Operativo,2813.9913316152,0.66
