comuna,tipo_inoperatividad,km_total,%
CERRILLOS,Inoperatividad Doble o mas,1354.0182031363,0.32
CERRILLOS,Inoperativo por segregacion calzada,1040.400981707,0.24
CERRILLOS,Inoperativo por segregacion vereda,223.357988357,0.05
CERRILLOS,Inoperativo por superficie,2703.2347652766002,0.63
CERRILLOS,Operativo,474.57789908477,0.11
CERRO NAVIA,Inoperativo por segregacion calzada,1815.5205898351,0.42
CERRO NAVIA,Inoperativo por segregacion vereda,70.3185621084,0.02
CERRO NAVIA,Operativo,4936.20686837137,1.16
CONCHALÍ,Inoperatividad Doble o mas,892.617170956,0.21
CONCHALÍ,Inoperativo por segregacion vereda,834.881283462,0.2
CONCHALÍ,Inoperativo por superficie,536.5025995230001,0.13
CONCHALÍ,Operativo,5900.44253853842,1.38
EL BOSQUE,Inoperatividad Doble o mas,2229.6016487536,0.52
EL BOSQUE,Inoperativo por segregacion vereda,40.5668525306,0.01
EL BOSQUE,Inoperativo por superficie,534.3267922567,0.13
EL BOSQUE,Operativo,2872.9423062974,0.67
ESTACIÓN CENTRAL,Inoperatividad Doble o mas,408.10813801259997,0.1
ESTACIÓN CENTRAL,Inoperativo por segregacion vereda,953.1380810516,0.22
ESTACIÓN CENTRAL,Inoperativo por superficie,808.4668411168,0.19
ESTACIÓN CENTRAL,Operativo,8157.17013252126,1.91
HUECHURABA,Inoperatividad Doble o mas,603.2870462603,0.14
HUECHURABA,Inoperativo por segregacion vereda,69.0380780691,0.02
HUECHURABA,Inoperativo por superficie,150.988811381,0.04
HUECHURABA,Operativo,53.8480745743,0.01
INDEPENDENCIA,Inoperatividad Doble o mas,587.6874525139999,0.14
INDEPENDENCIA,Inoperativo por segregacion calzada,3146.333163988,0.74
INDEPENDENCIA,Inoperativo por segregacion vereda,369.8767324437,0.09
INDEPENDENCIA,Operativo,3759.3722488523,0.88
LA CISTERNA,Inoperatividad Doble o mas,86.1519058997,0.02
LA CISTERNA,Inoperativo por segregacion calzada,1013.2446823488,0.24
LA CISTERNA,Inoperativo por superficie,128.209923617,0.03
LA CISTERNA,Operativo,514.31179975652,0.12
LA FLORIDA,Inoperativo por segregacion calzada,3030.9456339316,0.71
LA FLORIDA,Inoperativo por segregacion vereda,6193.47303782919,1.45
LA FLORIDA,Operativo,4847.19803240848,1.13
LA GRANJA,Inoperatividad Doble o mas,2709.6558285168,0.63
LA GRANJA,Inoperativo por segregacion vereda,348.3117626175,0.08
LA GRANJA,Inoperativo por superficie,315.3194241076,0.07
LA GRANJA,Operativo,2882.5097001241797,0.67
LA PINTANA,Inoperativo por segregacion vereda,2217.9456171262,0.52
LA PINTANA,Inoperativo por superficie,2274.1019200819,0.53
LA PINTANA,Operativo,14166.44946162329,3.32
LA REINA,Inoperatividad Doble o mas,862.6425330593,0.2
LA REINA,Inoperativo por segregacion calzada,348.82543619,0.08
LA REINA,Inoperativo por segregacion vereda,6548.81499012265,1.53
LA REINA,Operativo,6319.71304703608,1.48
LAS CONDES,Inoperatividad Doble o mas,1393.2642244595,0.33
