comuna,tipo,km_total,%
CERRILLOS,Operativo,5795.58983756167,1.36
CERRO NAVIA,Inoperativo,166.62850942874,0.04
CERRO NAVIA,Operativo,6655.41751088613,1.56
CONCHALÍ,Inoperativo,198.86583604423,0.05
CONCHALÍ,Operativo,7965.57775643519,1.86
EL BOSQUE,Inoperativo,455.80816747792,0.11
EL BOSQUE,Operativo,5221.62943236038,1.22
ESTACIÓN CENTRAL,Inoperativo,232.50418411462002,0.05
ESTACIÓN CENTRAL,Operativo,10094.37900858764,2.36
HUECHURABA,Inoperativo,53.8480745743,0.01
HUECHURABA,Operativo,823.3139357104,0.19
INDEPENDENCIA,Inoperativo,184.11910829761,0.04
INDEPENDENCIA,Operativo,7679.15048950039,1.8
LA CISTERNA,Inoperativo,21.12706646091,0
LA CISTERNA,Operativo,1720.79124516111,0.4
LA FLORIDA,Inoperativo,547.8164051466,0.13
LA FLORIDA,Operativo,13523.80029902267,3.17
LA GRANJA,Inoperativo,371.18396211788,0.09
LA GRANJA,Operativo,5884.6127532482,1.38
LA PINTANA,Inoperativo,346.83122798038,0.08
LA PINTANA,Operativo,18311.66577085101,4.29
LA REINA,Inoperativo,337.02693189304,0.08
LA REINA,Operativo,13742.96907451499,3.22
LAS CONDES,Inoperativo,380.28654078674,0.09
LAS CONDES,Operativo,36728.38169046121,8.6
LO ESPEJO,Inoperativo,269.20014368753,0.06
LO ESPEJO,Operativo,2547.19987990378,0.6
LO PRADO,Inoperativo,298.24480887100003,0.07
LO PRADO,Operativo,3520.60039256188,0.82
MACUL,Inoperativo,28.129060266899998,0.01
MACUL,Operativo,6664.662740229,1.56
MAIPÚ,Inoperativo,466.23370632578,0.11
MAIPÚ,Operativo,24037.47110107087,5.63
ÑUÑOA,Inoperativo,1007.30322987504,0.24
ÑUÑOA,Operativo,22999.54165913921,5.38
PEDRO AGUIRRE CERDA,Inoperativo,134.11780534976,0.03
PEDRO AGUIRRE CERDA,Operativo,3163.5530083981002,0.74
PEÑALOLÉN,Inoperativo,235.39314072979,0.06
PEÑALOLÉN,Operativo,12144.51992179436,2.84
PROVIDENCIA,Inoperativo,553.89768853181,0.13
PROVIDENCIA,Operativo,28974.58478874122,6.78
PUDAHUEL,Inoperativo,328.65718557848,0.08
PUDAHUEL,Operativo,4777.13169427256,1.12
PUENTE ALTO,Inoperativo,645.65344805022,0.15
PUENTE ALTO,Operativo,26875.77614024664,6.29
QUILICURA,Inoperativo,69.71778592677,0.02
QUILICURA,Operativo,10692.717522417519,2.5
QUINTA NORMAL,Inoperativo,423.7710694306,0.1
QUINTA NORMAL,Operativo,15487.24864412282,3.62
RECOLETA,Inoperativo,236.8470333212,0.06
RECOLETA,Operativo,6852.76966347965,1.6
RENCA,Inoperativo,682.37357132164,0.16
RENCA,Operativo,15532.50878446727,3.64
SAN BERNARDO,Inoperativo,404.73008745368,0.09
SAN BERNARDO,Operativo,6161.1414580933,1.44
SAN JOAQUÍN,Inoperativo,518.30872164767,0.12
SAN JOAQUÍN,Operativo,12888.72180923627,3.02
SAN MIGUEL,Operativo,788.37747195893,0.18
SAN RAMÓN,Inoperativo,34.9575060266,0.01
SAN RAMÓN,Operativo,3155.84711289513,0.74
SANTIAGO,Inoperativo,2277.63001845682,0.53
SANTIAGO,Operativo,67850.95068076884,15.88
VITACURA,Inoperativo,30.4964788912,0.01
VITACURA,Operativo,6080.9905192147,1.42
