comuna,op_ci,tip_op_sup,tip_op_seg_ca,tip_op_seg_vd,op_cr,largo_m,id_2
PUENTE ALTO,0,0,0,0,0,7.65524880406,4693
PEDRO AGUIRRE CERDA,0,0,0,0,0,14.4148361747,2184
PEDRO AGUIRRE CERDA,0,0,0,0,1,12.0084444199,2190
PEDRO AGUIRRE CERDA,0,0,0,0,0,10.4365966735,2192
PEDRO AGUIRRE CERDA,0,0,0,0,1,11.1136802943,2194
PEDRO AGUIRRE CERDA,0,0,0,0,0,13.2373594972,2204
PEDRO AGUIRRE CERDA,0,0,0,0,1,36.2594990973,2211
PEDRO AGUIRRE CERDA,0,0,0,0,0,10.843625126,2214
PEDRO AGUIRRE CERDA,0,0,0,0,1,9.81115133186,2220
PEDRO AGUIRRE CERDA,0,0,0,0,1,15.8579535215,2222
PEDRO AGUIRRE CERDA,0,0,0,0,0,124.869854739,2225
LA FLORIDA,0,0,0,0,0,14.5669885785,3131
LA FLORIDA,0,0,0,0,0,12.6763906337,3135
LA FLORIDA,0,0,0,0,0,18.6513537167,3146
LA FLORIDA,0,0,0,0,1,8.30885691282,3149
LA FLORIDA,0,0,0,0,0,5.13823080811,3151
LA FLORIDA,0,0,0,0,1,10.1114688569,3160
LA FLORIDA,0,0,0,0,0,7.53432486828,3162
LA FLORIDA,0,0,0,0,0,21.0586859874,3164
LA FLORIDA,0,0,0,0,0,9.15874255322,3166
LA FLORIDA,0,0,0,0,0,9.88576655123,3168
LA FLORIDA,0,0,0,0,1,9.08016044461,3170
LA FLORIDA,0,0,0,0,0,6.95288198263,3129
LA FLORIDA,0,0,0,0,0,17.7914237418,3154
LA GRANJA,0,0,0,0,0,23.1025617734,4750
LA GRANJA,0,0,0,0,0,21.9040441241,4752
LA GRANJA,0,0,0,0,1,21.0000198542,4754
LA GRANJA,0,0,0,0,1,16.2180564725,4756
LA GRANJA,0,0,0,0,1,17.4484958622,4758
PUENTE ALTO,0,0,0,0,0,20.582519455,4328
PUENTE ALTO,0,0,0,0,0,26.7836727822,4329
PUENTE ALTO,0,0,0,0,0,26.1047018181,4318
PUENTE ALTO,0,0,0,0,0,11.7742819719,4316
PUENTE ALTO,0,0,0,0,0,13.6755053272,4284
LO ESPEJO,0,0,0,0,0,9.0736482506,558
LO ESPEJO,0,0,0,0,1,11.3693311966,560
LO ESPEJO,0,0,0,0,1,5.18531545038,566
LO ESPEJO,0,0,0,0,1,8.29382882033,570
LO ESPEJO,0,0,0,0,0,6.14399430135,572
LO ESPEJO,0,0,0,0,0,5.55205742211,574
LO ESPEJO,0,0,0,0,0,5.85727974842,576
LO ESPEJO,0,0,0,0,1,6.94331336324,586
LO ESPEJO,0,0,0,0,1,9.84914342378,510
LO ESPEJO,0,0,0,0,1,7.28680817123,512
LO ESPEJO,1,1,0,0,0,60.8440683579,517
LO ESPEJO,0,0,0,0,1,7.20484749638,546
PUENTE ALTO,0,0,0,0,0,7.26989935855,1465
PUENTE ALTO,0,0,0,0,0,7.87663364665,1467
PUENTE ALTO,0,0,0,0,1,11.0571289246,1479
PUENTE ALTO,0,0,0,0,0,5.55910872899,1496
PUENTE ALTO,0,0,0,0,0,8.26088317927,1502
PUENTE ALTO,0,0,0,0,0,23.3363211685,1504
PUENTE ALTO,0,0,0,0,0,12.3646754126,1509
PUENTE ALTO,0,0,0,0,0,12.6367684139,1511
PUENTE ALTO,0,0,0,0,1,8.64733242397,1513
PUENTE ALTO,0,0,0,0,0,8.02896056378,1515
PUENTE ALTO,0,0,0,0,0,10.7038506403,1521
PUENTE ALTO,0,0,0,0,0,9.24845851018,1524
PUENTE ALTO,0,0,0,0,0,10.3213670613,1526
PUENTE ALTO,0,0,0,0,0,9.13738866931,1536
PUENTE ALTO,0,0,0,0,1,8.75299197302,1540
PUENTE ALTO,0,0,0,0,0,8.77010009938,1542
PUENTE ALTO,0,0,0,0,0,23.8970594508,1544
PUENTE ALTO,0,0,0,0,0,12.4622915036,1552
PUENTE ALTO,0,0,0,0,0,21.04180063,1558
LA PINTANA,0,0,0,0,1,20.6069832067,1665
LA PINTANA,0,0,0,0,1,15.0237221869,1667
LA PINTANA,0,0,0,0,0,19.7731967988,1683
LA PINTANA,0,0,0,0,1,13.1302250722,1722
LA PINTANA,0,0,0,0,0,12.0668571665,1724
LA PINTANA,0,0,0,0,1,8.39039266068,1727
SANTIAGO,0,0,0,0,0,89.3550792185,2115
SANTIAGO,0,0,0,0,0,9.84153046295,2118
SANTIAGO,0,0,0,0,0,8.63780477008,2122
SANTIAGO,0,0,0,0,0,9.18792375464,2124
SANTIAGO,0,0,0,0,0,11.1408157101,2128
SANTIAGO,0,0,0,0,0,12.9301229514,2138
LAS CONDES,0,0,0,0,0,12.3963297416,735
LAS CONDES,0,0,0,0,0,15.690960763,4854
LAS CONDES,0,0,0,0,0,9.60081106153,4873
LAS CONDES,0,0,0,0,0,16.8024701608,4889
LAS CONDES,0,0,0,0,0,22.9440608134,4891
LAS CONDES,0,0,0,0,0,11.2789838437,4887
LAS CONDES,0,0,0,0,1,8.38843514377,4897
VITACURA,0,0,0,0,0,31.1894886736,4975
VITACURA,0,0,0,0,0,12.0494639906,4985
VITACURA,0,0,0,0,0,16.9442157985,4994
VITACURA,0,0,0,0,0,33.3128840463,5000
LAS CONDES,0,0,0,0,0,261.883743334,4331
LAS CONDES,0,0,0,0,0,13.124177676,4332
LAS CONDES,0,0,0,0,0,268.421489507,4333
LAS CONDES,0,0,0,0,0,8.30840492557,4334
LAS CONDES,0,0,0,0,0,229.702092265,4335
LAS CONDES,1,0,1,0,0,167.949210521,4336
PROVIDENCIA,0,0,0,0,0,168.30760253,4341
PROVIDENCIA,0,0,0,0,1,18.9899321789,4342
PROVIDENCIA,0,0,0,0,0,331.739260823,4343
PROVIDENCIA,0,0,0,0,1,18.0820680203,4344
PROVIDENCIA,0,0,0,0,0,361.154489305,4345
PROVIDENCIA,0,0,0,0,0,14.6434227296,4346
PROVIDENCIA,0,0,0,0,0,68.3806256622,4347
PROVIDENCIA,0,0,0,0,0,9.11009259251,4348
PROVIDENCIA,0,0,0,0,0,92.1991328982,4349
PROVIDENCIA,0,0,0,0,0,15.2305413537,4350
PROVIDENCIA,0,0,0,0,0,18.5821405528,4351
PROVIDENCIA,0,0,0,0,0,97.9955794154,4352
PROVIDENCIA,0,0,0,0,0,9.76177836204,4353
PROVIDENCIA,0,0,0,0,0,61.6387534505,4354
PROVIDENCIA,0,0,0,0,0,6.9058183249,4355
PROVIDENCIA,0,0,0,0,0,56.7376312858,4356
PROVIDENCIA,0,0,0,0,0,11.1534438185,4357
PROVIDENCIA,0,0,0,0,0,183.453563873,4358
PROVIDENCIA,0,0,0,0,0,95.1421048336,4359
PROVIDENCIA,0,0,0,0,0,12.7282396539,4361
PROVIDENCIA,0,0,0,0,0,56.6100668793,4363
PROVIDENCIA,0,0,0,0,0,8.3615556789,4365
PROVIDENCIA,0,0,0,0,0,58.7410242188,4366
PROVIDENCIA,0,0,0,0,0,9.79799990684,4367
LAS CONDES,0,0,0,0,0,334.159307108,4065
LAS CONDES,0,0,0,0,0,10.9227339166,4067
LAS CONDES,0,0,0,0,0,218.923347551,4158
LAS CONDES,0,0,0,0,0,19.0691892741,4159
LAS CONDES,0,0,0,0,0,241.819772464,4160
LAS CONDES,0,0,0,0,0,8.0891107203,4161
LAS CONDES,0,0,0,0,0,183.016544036,4162
LAS CONDES,0,0,0,0,0,11.8842761401,4163
LAS CONDES,0,0,0,0,0,107.00903329,4164
LAS CONDES,0,0,0,0,0,81.4686443763,4166
LAS CONDES,0,0,0,0,0,11.6061020774,4167
LAS CONDES,0,0,0,0,0,11.7531645975,4168
LAS CONDES,0,0,0,0,0,60.4000498448,4059
LAS CONDES,0,0,0,0,0,13.5472050761,4060
LAS CONDES,0,0,0,0,0,56.2836727873,4061
LAS CONDES,0,0,0,0,0,9.13641623473,4062
LAS CONDES,0,0,0,0,0,63.2293535137,4063
LAS CONDES,0,0,0,0,0,10.6853372884,4064
LAS CONDES,0,0,0,0,0,50.0114756198,4066
LAS CONDES,0,0,0,0,0,12.0024504424,4068
LAS CONDES,0,0,0,0,0,44.9437962423,4069
LAS CONDES,0,0,0,0,0,14.1960116665,4070
LAS CONDES,0,0,0,0,0,39.1778983668,4071
LAS CONDES,0,0,0,0,0,10.266389171,4072
LAS CONDES,0,0,0,0,0,43.7953116321,4073
LAS CONDES,0,0,0,0,0,12.5050096633,4074
LAS CONDES,0,0,0,0,0,75.3296599094,4075
LAS CONDES,0,0,0,0,1,9.93992448299,4076
LAS CONDES,0,0,0,0,0,83.7613755686,4077
LAS CONDES,0,0,0,0,0,11.3204447548,4078
LAS CONDES,0,0,0,0,0,51.6474342242,4079
LAS CONDES,0,0,0,0,0,9.30082296633,4080
LAS CONDES,0,0,0,0,0,54.292872879,4081
LAS CONDES,0,0,0,0,0,11.2703877317,4082
LAS CONDES,0,0,0,0,0,52.8776727322,4083
LAS CONDES,0,0,0,0,0,8.43618471227,4084
LAS CONDES,0,0,0,0,0,113.12908309,4085
LAS CONDES,0,0,0,0,0,9.45787705597,4086
LAS CONDES,0,0,0,0,0,310.560507532,4087
LAS CONDES,0,0,0,0,0,12.0427985236,4088
LAS CONDES,0,0,0,0,0,60.0659265537,4089
LAS CONDES,0,0,0,0,0,9.90995932263,4090
LAS CONDES,0,0,0,0,1,55.650808674,4091
LAS CONDES,0,0,0,0,0,94.9315262238,4169
LAS CONDES,0,0,0,0,0,12.7234454592,4170
LAS CONDES,0,0,0,0,0,71.5748542017,4171
LAS CONDES,0,0,0,0,0,10.5907684822,4172
LAS CONDES,0,0,0,0,0,66.4429834989,4173
LAS CONDES,0,0,0,0,0,11.4781228478,4174
LAS CONDES,0,0,0,0,0,67.817264706,4175
LAS CONDES,0,0,0,0,0,11.2759177054,4176
LAS CONDES,0,0,0,0,0,150.19332754,4177
LAS CONDES,0,0,0,0,0,11.6214556101,4178
LAS CONDES,0,0,0,0,0,78.765529084,4179
LAS CONDES,0,0,0,0,0,17.8943771995,4180
LAS CONDES,0,0,0,0,0,68.061279153,4181
LAS CONDES,0,0,0,0,0,8.31736872024,4182
LAS CONDES,0,0,0,0,0,45.5539193621,4183
LAS CONDES,0,0,0,0,0,11.8126259337,4184
LAS CONDES,0,0,0,0,0,95.0463406801,4185
LAS CONDES,0,0,0,0,0,12.9614818399,4186
LAS CONDES,0,0,0,0,0,74.2916721531,4187
LAS CONDES,0,0,0,0,0,9.06162997792,4188
LAS CONDES,0,0,0,0,0,69.6658830257,4189
LAS CONDES,0,0,0,0,0,9.39243268421,4190
LAS CONDES,0,0,0,0,0,77.6338410526,4191
LAS CONDES,0,0,0,0,0,8.78877053067,4192
LAS CONDES,0,0,0,0,0,104.083235158,4193
LAS CONDES,0,0,0,0,0,7.53432486828,4194
LAS CONDES,0,0,0,0,0,233.926613973,4195
LAS CONDES,0,0,0,0,0,9.44569683711,4196
LAS CONDES,0,0,0,0,0,202.077677792,4197
LAS CONDES,0,0,0,0,1,5.67689531407,4198
LAS CONDES,0,0,0,0,0,165.565363072,4199
LAS CONDES,0,0,0,0,0,64.6218954794,4200
LAS CONDES,0,0,0,0,0,6.0381189341,4201
LAS CONDES,0,0,0,0,0,57.5678759855,4202
LAS CONDES,0,0,0,0,0,13.7583076939,4203
LAS CONDES,0,0,0,0,0,54.8720220471,4204
LAS CONDES,0,0,0,0,0,9.04243517535,4205
LAS CONDES,0,0,0,0,0,47.5610300743,4206
LAS CONDES,0,0,0,0,0,7.76281900513,4207
LAS CONDES,0,0,0,0,0,62.1756941052,4208
LAS CONDES,0,0,0,0,0,7.53594881953,4209
LAS CONDES,0,0,0,0,0,50.3003174346,4210
LAS CONDES,0,0,0,0,0,9.55312649386,4211
LAS CONDES,0,0,0,0,0,56.636519721,4212
LAS CONDES,0,0,0,0,0,10.0113900986,4213
LAS CONDES,0,0,0,0,0,47.9189036307,4214
LAS CONDES,0,0,0,0,0,12.0744413712,4215
LAS CONDES,0,0,0,0,0,41.1771918059,4216
LAS CONDES,0,0,0,0,0,10.5075678413,4217
LAS CONDES,1,1,0,0,0,48.6911670349,4218
LAS CONDES,0,0,0,0,0,10.0705965867,4219
LAS CONDES,1,1,0,0,0,50.7783450918,4220
LAS CONDES,0,0,0,0,0,11.2234130115,4221
LAS CONDES,1,1,0,0,0,42.5872268293,4222
LAS CONDES,0,0,0,0,0,9.64326331585,4223
LAS CONDES,1,1,0,0,0,90.036443257,4224
LAS CONDES,0,0,0,0,0,9.00619092481,4225
LAS CONDES,1,1,0,0,0,63.6464362778,4226
LAS CONDES,0,0,0,0,0,8.37203159625,4227
LAS CONDES,1,1,0,0,0,61.88335649,4228
LAS CONDES,0,0,0,0,0,8.28327010368,4229
LAS CONDES,1,1,0,0,0,63.8553819936,4230
LAS CONDES,0,0,0,0,0,8.59303004621,4231
LAS CONDES,1,1,0,0,0,101.607016236,4232
LAS CONDES,0,0,0,0,0,20.3995342889,4233
LAS CONDES,1,1,0,0,0,50.8640254342,4234
LAS CONDES,1,1,0,0,0,148.905369925,4235
LAS CONDES,0,0,0,0,0,10.275986634,4236
LAS CONDES,1,1,0,0,0,57.3757501518,4237
LAS CONDES,1,1,0,0,0,73.1910872302,4238
LAS CONDES,0,0,0,0,0,6.46139887331,4239
LAS CONDES,0,0,0,0,0,6.43249064202,4240
LAS CONDES,1,1,0,0,0,115.583789524,4241
LAS CONDES,0,0,0,0,0,7.6441942084,4242
PROVIDENCIA,0,0,0,0,0,156.7439781,4468
PROVIDENCIA,0,0,0,0,0,117.646018575,4471
PROVIDENCIA,0,0,0,0,1,14.272035102,4472
PROVIDENCIA,0,0,0,0,0,121.991614684,4473
PROVIDENCIA,0,0,0,0,0,128.563644921,4475
PROVIDENCIA,0,0,0,0,1,7.54688884579,4476
PROVIDENCIA,0,0,0,0,0,113.368348258,4477
PROVIDENCIA,0,0,0,0,0,122.48483375,4481
PROVIDENCIA,0,0,0,0,0,10.9903314673,4482
PROVIDENCIA,0,0,0,0,0,143.077006072,4483
LAS CONDES,1,0,0,1,0,38.7878398945,4504
LAS CONDES,0,0,0,0,0,14.4694244408,4505
LAS CONDES,0,0,0,0,0,42.7224721258,4506
LAS CONDES,1,1,0,1,0,72.3538277625,4507
LAS CONDES,1,1,0,0,0,239.768435685,4533
LAS CONDES,0,0,0,0,0,11.2174150961,4534
LAS CONDES,1,0,0,1,0,146.780571598,4535
LAS CONDES,0,0,0,0,0,13.4302115846,4536
LAS CONDES,1,0,0,1,0,145.108038403,4537
LAS CONDES,0,0,0,0,0,12.4291550555,4538
LAS CONDES,1,0,0,1,0,12.6037789165,4539
LAS CONDES,0,0,0,0,0,13.9108322928,4540
LAS CONDES,0,0,0,0,0,184.6858009,4521
PROVIDENCIA,0,0,0,0,0,85.601890954,4490
PROVIDENCIA,0,0,0,0,0,10.4015050811,4492
PROVIDENCIA,0,0,0,0,0,65.7243345755,4493
PROVIDENCIA,0,0,0,0,1,11.2522286683,4494
PROVIDENCIA,0,0,0,0,0,80.9885646633,4495
PROVIDENCIA,0,0,0,0,1,9.43223527991,4496
PROVIDENCIA,1,0,0,1,0,22.3232307262,4497
PROVIDENCIA,0,0,0,0,1,5.87659242952,4498
PROVIDENCIA,0,0,0,0,0,225.165898543,4499
PROVIDENCIA,0,0,0,0,1,14.9455966607,4500
PROVIDENCIA,0,0,0,0,0,145.104826244,4501
PROVIDENCIA,0,0,0,0,0,13.9566249972,4502
PROVIDENCIA,0,0,0,0,0,420.172029784,4766
PROVIDENCIA,0,0,0,0,0,25.2048157355,4767
PROVIDENCIA,0,0,0,0,0,222.651590556,4768
PROVIDENCIA,0,0,0,0,0,5.32011269218,4769
PROVIDENCIA,0,0,0,0,0,14.4076353951,4770
PROVIDENCIA,0,0,0,0,0,196.066427494,4771
PROVIDENCIA,0,0,0,0,0,10.7500950343,4772
PROVIDENCIA,1,0,0,1,0,5.31018159367,4773
PROVIDENCIA,0,0,0,0,0,13.7789932429,4774
PROVIDENCIA,0,0,0,0,0,4.37216407376,4775
PROVIDENCIA,0,0,0,0,0,16.7944538886,4776
PROVIDENCIA,0,0,0,0,0,4.2169401997,4777
PROVIDENCIA,0,0,0,0,0,39.8730571713,4778
PROVIDENCIA,0,0,0,0,0,8.86242195652,4779
PROVIDENCIA,0,0,0,0,0,134.818067066,4780
PROVIDENCIA,0,0,0,0,0,7.72944662259,4781
PROVIDENCIA,1,0,1,0,0,26.592722534300002,4783
PROVIDENCIA,1,0,1,0,0,12.7173256205,4784
PROVIDENCIA,0,0,0,0,0,183.369504352,4360
PROVIDENCIA,0,0,0,0,0,19.4031879628,4362
PROVIDENCIA,0,0,0,0,0,21.1846867312,4364
PROVIDENCIA,0,0,0,0,0,13.1464687252,4340
PROVIDENCIA,0,0,0,0,0,70.6460276958,4339
PROVIDENCIA,0,0,0,0,1,13.6889098272,4788
PROVIDENCIA,1,0,0,1,0,149.213289537,4789
PROVIDENCIA,1,0,0,1,0,232.652236203,4791
PROVIDENCIA,0,0,0,0,1,8.48399648351,4792
PROVIDENCIA,1,0,0,1,0,7.79987282745,4793
PROVIDENCIA,0,0,0,0,1,9.4133851639,4794
LAS CONDES,1,0,1,0,0,101.887546733,4508
LAS CONDES,0,0,0,0,0,5.82852522087,4509
LAS CONDES,1,0,1,0,0,151.761975784,4510
LAS CONDES,0,0,0,0,0,9.90834071311,4511
LAS CONDES,1,0,1,0,0,56.5657240156,4512
LAS CONDES,0,0,0,0,0,7.03752661735,4513
LAS CONDES,1,0,1,0,0,55.0678020199,4514
LAS CONDES,0,0,0,0,0,11.0089172887,4515
LAS CONDES,1,0,1,0,0,56.7241572148,4516
LAS CONDES,0,0,0,0,0,6.8101999618,4517
LAS CONDES,1,0,1,0,0,56.2466108588,4518
LAS CONDES,0,0,0,0,0,7.46601037537,4519
LAS CONDES,1,0,1,0,0,159.575633631,4520
LAS CONDES,0,0,0,0,0,14.7260547938,4541
LAS CONDES,0,0,0,0,0,76.4993337076,4522
LAS CONDES,0,0,0,0,0,46.9215692204,4523
LAS CONDES,0,0,0,0,1,12.9884405458,4524
LAS CONDES,0,0,0,0,1,17.7690405303,4525
LAS CONDES,1,0,1,0,0,79.0788746182,4337
LAS CONDES,0,0,0,0,1,11.8505134783,4338
LAS CONDES,1,1,0,1,0,77.8522765894,4613
PROVIDENCIA,0,0,0,0,0,14.4246234026,4615
PROVIDENCIA,0,0,0,0,0,47.0042345029,4616
PROVIDENCIA,0,0,0,0,0,20.2269141809,4617
